From,Destination,Service Class,Via Place,Time,Slot Label,District,State,Population_Millions,Urbanisation Level,Region_Type,Interstate_Flag,Start,End,Urban_Level_Num,Interstate_Flag_Num,Time_Score,Crowd_Risk_Score,Crowd_Risk_Level
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:51:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:54:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Valiyullahi Dargha Shareef Jardgaudde Ammembala,Limited,Thokkottu,14:55:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",14:57:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Kayarthadka,Limited,"BC Road, Belthangadi",15:00:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",15:00:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Kadur,Express,"BC Road, Belthangadi",15:00:00,2 PM - 6 PM,Chikmagalur,Karnataka,1.3,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.49,Low
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:00:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Hyderabad,Dream class,Kumta,15:00:00,2 PM - 6 PM,Hyderabad,Telangana,4.28,Very High,Top Urban,Yes,14:00:00,18:00:00,5,1,3,3.384,Very High
Bengaluru,Kundapura,Express,Udupi,15:00:00,2 PM - 6 PM,Udupi,Karnataka,1.34,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.502,Low
Mangaluru,Subramanya,Limited,Uppinangadi,15:00:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Madurai,Express,Mysuru,15:00:00,2 PM - 6 PM,Madurai,Tamil Nadu,3.52,Very High,Top Urban,Yes,14:00:00,18:00:00,5,1,3,3.156,Very High
Mangaluru,B.C.Road,Ordinary,Farangipete,15:00:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:03:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Bengaluru,Multi Axle,Sakleshpura,15:03:00,2 PM - 6 PM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,14:00:00,18:00:00,5,0,3,5.188000000000001,Very High
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:06:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:09:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:12:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Mudipu,Limited,Thokkottu,15:15:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Adyar padavu,Limited,Padil,15:15:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:15:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Sindagi,Express,Kumta,15:15:00,2 PM - 6 PM,Bijapur,Karnataka,2.48,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.444,High
Mangaluru,Sirsi,Volvo,Kumta,15:15:00,2 PM - 6 PM,Uttara Kannada,Karnataka,1.64,Medium,Semi Rural,No,14:00:00,18:00:00,2,0,3,1.7919999999999998,Medium
Mangaluru,Bengaluru,Express,Sakleshpura,15:15:00,2 PM - 6 PM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,14:00:00,18:00:00,5,0,3,5.188000000000001,Very High
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:18:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:21:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:24:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Somwarpet,Express,Madikeri,15:25:00,2 PM - 6 PM,Kodagu,Karnataka,0.63,Very Low,Top Rural,No,14:00:00,18:00:00,0,0,3,1.089,Very Low
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:27:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",15:30:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Chikkamagaluru,Express,"BC Road, Belthangadi",15:30:00,2 PM - 6 PM,Chikmagalur,Karnataka,1.3,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.49,Low
Mangaluru,Gramachavadi,Limited,Thokkottu,15:30:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Talikoti,Express,Kumta,15:30:00,2 PM - 6 PM,Bijapur,Karnataka,2.48,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.444,High
Mysuru,Kundapura,Express,Udupi,15:30:00,2 PM - 6 PM,Udupi,Karnataka,1.34,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.502,Low
Mangaluru,Subramanya,Limited,Uppinangadi,15:30:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Mantralayam,Non Ac Sleeper,Udupi,15:30:00,2 PM - 6 PM,Kurnool,Andhra Pradesh,2.27,High,Mid Urban,Yes,14:00:00,18:00:00,4,1,3,2.5809999999999995,High
Mangaluru,Coimbatore,Volvo,Mysuru,15:30:00,2 PM - 6 PM,Coimbatore,Tamil Nadu,4.01,Very High,Top Urban,Yes,14:00:00,18:00:00,5,1,3,3.303,Very High
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:31:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:35:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:39:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:43:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mysuru,Kundapura,Rajahamsa,Udupi,15:45:00,2 PM - 6 PM,Udupi,Karnataka,1.34,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.502,Low
Mysuru,Kundapura,Rajahamsa,Udupi,15:45:00,2 PM - 6 PM,Udupi,Karnataka,1.34,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.502,Low
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:47:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:51:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",15:55:00,2 PM - 6 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,14:00:00,18:00:00,1,1,3,1.708,Medium
Mangaluru,Kadur,Express,"BC Road, Belthangadi",16:00:00,2 PM - 6 PM,Chikmagalur,Karnataka,1.3,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.49,Low
Mangaluru,Hanmanhal,Express,Kumta,16:00:00,2 PM - 6 PM,Koppal,Karnataka,1.58,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.5739999999999998,Low
Mangaluru,Pune,Ambari utsav,Kumta,16:00:00,2 PM - 6 PM,Pune,Maharashtra,10.48,Very High,Top Urban,Yes,14:00:00,18:00:00,5,1,3,5.244,Very High
Mysore,Udupi,Express,Mangaluru,16:00:00,2 PM - 6 PM,Udupi,Karnataka,1.34,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.502,Low
Mangaluru,Hassan,Express,Sakleshpura,16:00:00,2 PM - 6 PM,Hassan,Karnataka,2.02,Moderate,Semi Urban,No,14:00:00,18:00:00,3,0,3,2.106,Moderate
Mangaluru,Bengaluru,Multi Axle,Sakleshpura,16:00:00,2 PM - 6 PM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,14:00:00,18:00:00,5,0,3,5.188000000000001,Very High
Gokarna,Subramanya,Express,Uppinangadi,16:00:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Raichur,Rajahamsa,Udupi,16:00:00,2 PM - 6 PM,Raichur,Karnataka,2.2,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.36,High
Mangaluru,Mysuru,Express,Madikeri,16:00:00,2 PM - 6 PM,Mysore,Karnataka,3.42,Very High,Top Urban,No,14:00:00,18:00:00,5,0,3,2.9259999999999997,Very High
Mangaluru,B.C.Road,Ordinary,Farangipete,16:00:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",16:00:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,B.C.Road,Ordinary,Farangipete,16:05:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Mudipu,Limited,Thokkottu,16:10:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Karwar,Volvo,Kumta,16:15:00,2 PM - 6 PM,Uttara Kannada,Karnataka,1.64,Medium,Semi Rural,No,14:00:00,18:00:00,2,0,3,1.7919999999999998,Medium
Mangaluru,Karadi,Express,Kumta,16:15:00,2 PM - 6 PM,Bagalkot,Karnataka,2.15,Moderate,Semi Urban,No,14:00:00,18:00:00,3,0,3,2.145,Moderate
Mangaluru,Kundapura,Rajahamsa,Udupi,16:15:00,2 PM - 6 PM,Udupi,Karnataka,1.34,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.502,Low
Mangaluru,B.C.Road,Ordinary,Farangipete,16:15:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Phajeer,Ordinary,Farangipete,16:15:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Mudipu,Limited,Thokkottu,16:20:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Mudigere,Express,"BC Road, Belthangadi",16:30:00,2 PM - 6 PM,Chikmagalur,Karnataka,1.3,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.49,Low
Mangaluru,Parapu,Limited,Thokkottu,16:30:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Kushtagi,Express,Kumta,16:30:00,2 PM - 6 PM,Koppal,Karnataka,1.58,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.5739999999999998,Low
Bengaluru,Kundapura,Multi Axle,Udupi,16:30:00,2 PM - 6 PM,Udupi,Karnataka,1.34,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.502,Low
Mangaluru,Bengaluru,Express,Sakleshpura,16:30:00,2 PM - 6 PM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,14:00:00,18:00:00,5,0,3,5.188000000000001,Very High
Mangaluru,Subramanya,Limited,Uppinangadi,16:30:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,B.C.Road,Ordinary,Farangipete,16:30:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",16:30:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Kateelu,Limited,Surathkal,16:35:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Panaji,Puttur,Express,B.C.Road,16:35:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Mudipu,Limited,Thokkottu,16:40:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mysuru,Udupi,Express,Mangaluru,16:40:00,2 PM - 6 PM,Udupi,Karnataka,1.34,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.502,Low
Mangaluru,Muddebihal,Express,Kumta,16:45:00,2 PM - 6 PM,Bijapur,Karnataka,2.48,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.444,High
Mangaluru,Rehamathnagar,Limited,Thokkottu,16:50:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Mudipu,Limited,Thokkottu,17:00:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Polali,Limited,Nanthur,17:00:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Guledagudda,Express,Kumta,17:00:00,2 PM - 6 PM,Bagalkot,Karnataka,2.15,Moderate,Semi Urban,No,14:00:00,18:00:00,3,0,3,2.145,Moderate
Mysuru,Kundapura,Express,Udupi,17:00:00,2 PM - 6 PM,Udupi,Karnataka,1.34,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.502,Low
Mangaluru,Kallugudde,Limited,Uppinangadi,17:00:00,2 PM - 6 PM,Chikmagalur,Karnataka,1.3,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.49,Low
Mangaluru,Raichur,Non Ac Sleeper,Udupi,17:00:00,2 PM - 6 PM,Raichur,Karnataka,2.2,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.36,High
Mangaluru,Kolar,Express,Mysuru,17:00:00,2 PM - 6 PM,Kolar,Karnataka,1.75,Medium,Semi Rural,No,14:00:00,18:00:00,2,0,3,1.825,Medium
Mangaluru,B.C.Road,Ordinary,Farangipete,17:00:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Mermajalu,Ordinary,Farangipete,17:00:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Ballari,Express,"BC Road, Belthangadi",17:15:00,2 PM - 6 PM,Bellary,Karnataka,2.79,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.537,High
Mangaluru,Tawargera,Express,Kumta,17:15:00,2 PM - 6 PM,Koppal,Karnataka,1.58,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.5739999999999998,Low
Mangaluru,Bengaluru,Express,Sakleshpura,17:15:00,2 PM - 6 PM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,14:00:00,18:00:00,5,0,3,5.188000000000001,Very High
Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",17:15:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Bagalakote,Express,Kumta,17:20:00,2 PM - 6 PM,Bagalkot,Karnataka,2.15,Moderate,Semi Urban,No,14:00:00,18:00:00,3,0,3,2.145,Moderate
Mangaluru,Kundapura,Express,Udupi,17:20:00,2 PM - 6 PM,Udupi,Karnataka,1.34,Low,Mid Rural,No,14:00:00,18:00:00,1,0,3,1.502,Low
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",17:30:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Adyar padavu,Limited,Thokkottu,17:30:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Jamakhandi,Rajahamsa,Kumta,17:30:00,2 PM - 6 PM,Bagalkot,Karnataka,2.15,Moderate,Semi Urban,No,14:00:00,18:00:00,3,0,3,2.145,Moderate
Karwar,Subramanya,Express,Uppinangadi,17:30:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Harappanahalli,Express,Udupi,17:30:00,2 PM - 6 PM,Davanagere,Karnataka,2.22,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.366,High
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",17:45:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Kudala Sangama,Express,Kumta,17:45:00,2 PM - 6 PM,Bagalkot,Karnataka,2.15,Moderate,Semi Urban,No,14:00:00,18:00:00,3,0,3,2.145,Moderate
Hubballi,Puttur,Express,Mysuru,17:45:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Mudipu,Limited,Thokkottu,17:55:00,2 PM - 6 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,14:00:00,18:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",18:00:00,6 PM - 10 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,18:00:00,22:00:00,1,1,2,1.408,Low
Mangaluru,Ilkal,Express,Kumta,18:00:00,6 PM - 10 PM,Bagalkot,Karnataka,2.15,Moderate,Semi Urban,No,18:00:00,22:00:00,3,0,2,1.8450000000000002,Medium
Mangaluru,Bengaluru,Express,Sakleshpura,18:00:00,6 PM - 10 PM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,18:00:00,22:00:00,5,0,2,4.888,Very High
Mangaluru,Mantralayam,Volvo,Udupi,18:00:00,6 PM - 10 PM,Kurnool,Andhra Pradesh,2.27,High,Mid Urban,Yes,18:00:00,22:00:00,4,1,2,2.2809999999999997,High
Mangaluru,B.C.Road,Ordinary,Farangipete,18:00:00,6 PM - 10 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,18:00:00,22:00:00,4,0,2,2.114,Moderate
Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",18:00:00,6 PM - 10 PM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,18:00:00,22:00:00,4,0,2,2.114,Moderate
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",18:05:00,6 PM - 10 PM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,18:00:00,22:00:00,1,1,2,1.408,Low
Mangaluru,Dotihal,Express,Kumta,18:05:00,6 PM - 10 PM,Koppal,Karnataka,1.58,Low,Mid Rural,No,18:00:00,22:00:00,1,0,2,1.274,Very Low
